园艺新村,3室1厅,68.21平米,https://sh.lianjia.com/chengjiao/107101784107.html,2019.12.05,376,挂牌390万,成交周期74天,55124,低楼层(共6层),1995年建板楼,南 北 , 简装
佳宝新村,2室1厅,61.9平米,https://sh.lianjia.com/chengjiao/107101938745.html,2019.12.01,280,挂牌306万,成交周期30天,45235,中楼层(共6层),1994年建板楼,南 , 毛坯
东方花园(一期),2室2厅,82.81平米,https://sh.lianjia.com/chengjiao/107101840165.html,2019.11.30,424,挂牌450万,成交周期52天,51202,高楼层(共6层),1998年建板楼,南 , 精装
佳宝新村,2室1厅,64.81平米,https://sh.lianjia.com/chengjiao/107101829557.html,2019.11.30,306,挂牌318万,成交周期55天,47215,中楼层(共7层),1996年建板楼,南 , 精装
万科城花新园,3室2厅,98.57平米,https://sh.lianjia.com/chengjiao/107101485842.html,2019.11.28,655,挂牌670万,成交周期151天,66451,低楼层(共11层),2010年建板楼,南 , 精装
茂盛城市花园,2室1厅,70.48平米,https://sh.lianjia.com/chengjiao/107101485407.html,2019.11.24,495,挂牌508万,成交周期148天,70233,中楼层(共6层),1994年建板楼,南 , 简装
摩登堂,2室1厅,90.06平米,https://sh.lianjia.com/chengjiao/107101701790.html,2019.11.24,525,挂牌560万,成交周期86天,58295,低楼层(共18层),2010年建板楼,南 , 精装
万科城市花园,2室2厅,72.71平米,https://sh.lianjia.com/chengjiao/107101853089.html,2019.11.23,335,挂牌359万,成交周期41天,46074,高楼层(共8层),1995年建板楼,南 , 简装
白雪公主,2室2厅,96.1平米,https://sh.lianjia.com/chengjiao/107101103102.html,2019.11.20,500,挂牌515万,成交周期256天,51978,低楼层(共11层),2004年建板楼,南 , 精装
万科桂馨苑,2室2厅,96.7平米,https://sh.lianjia.com/chengjiao/107101453061.html,2019.11.19,590,挂牌610万,成交周期151天,61014,高楼层(共5层),2003年建板楼,南 北 , 精装
茂盛城市花园,3室1厅,88.58平米,https://sh.lianjia.com/chengjiao/107101292581.html,2019.11.18,580,挂牌608万,成交周期197天,65478,高楼层(共6层),1999年建板楼,南 北 , 精装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101920771.html,2019.11.18,388,挂牌400万,成交周期22天,77092,中楼层(共6层),1995年建板楼,南 , 精装
欣源公寓,2室2厅,87.5平米,https://sh.lianjia.com/chengjiao/107100661617.html,2019.11.18,403,挂牌412万,成交周期424天,46058,低楼层(共6层),1995年建板楼,南 北 , 简装
万兆家园(一期),2室2厅,74.97平米,https://sh.lianjia.com/chengjiao/107101958319.html,2019.11.18,398,挂牌420万,成交周期10天,53088,低楼层(共6层),2000年建板楼,南 , 简装
东方花园(一期),3室2厅,93.62平米,https://sh.lianjia.com/chengjiao/107101743606.html,2019.11.14,495,挂牌535万,成交周期64天,52820,中楼层(共6层),1998年建板楼,南 , 精装
万科城市花园,2室2厅,89.33平米,https://sh.lianjia.com/chengjiao/107100691359.html,2019.11.14,426,挂牌445万,成交周期408天,47689,中楼层(共12层),1995年建板楼,南 , 精装
西郊英园,1室1厅,59.09平米,https://sh.lianjia.com/chengjiao/107002112225.html,2019.11.11,281,挂牌290万,成交周期829天,47555,中楼层(共11层),2010年建板楼,南 , 精装
园艺新村,2室1厅,63.44平米,https://sh.lianjia.com/chengjiao/107101924220.html,2019.11.08,345,挂牌350万,成交周期10天,54383,中楼层(共6层),1995年建板楼,南 , 毛坯
金泰公寓,2室1厅,59.9平米,https://sh.lianjia.com/chengjiao/107101575794.html,2019.11.07,404,挂牌425万,成交周期104天,67413,中楼层(共6层),1995年建板楼,南 北 , 精装
三佳花苑,2室1厅,79.44平米,https://sh.lianjia.com/chengjiao/107101254042.html,2019.11.06,500,挂牌515万,成交周期197天,62941,高楼层(共6层),1995年建板楼,南 , 精装
华莘花园,2室1厅,79.98平米,https://sh.lianjia.com/chengjiao/107101803536.html,2019.11.06,360,挂牌380万,成交周期39天,45012,中楼层(共6层),1999年建板楼,南 , 简装
水榭花堤,1室1厅,55.19平米,https://sh.lianjia.com/chengjiao/107101907293.html,2019.11.05,310,挂牌348万,成交周期12天,56170,低楼层(共14层),2005年建板楼,南 , 简装
金球花园,2室2厅,97.96平米,https://sh.lianjia.com/chengjiao/107101812490.html,2019.11.03,432,挂牌509万,成交周期33天,44100,中楼层(共6层),1997年建板楼,南 北 , 精装
牡丹新村,2室1厅,55.89平米,https://sh.lianjia.com/chengjiao/107101153314.html,2019.10.31,273,挂牌282万,成交周期222天,48846,低楼层(共6层),1993年建板楼,东 , 精装
万泰花园,2室1厅,66.61平米,https://sh.lianjia.com/chengjiao/107101913504.html,2019.10.30,360,挂牌370万,成交周期4天,54046,中楼层(共6层),1997年建板楼,南 , 其他
园艺新村,2室1厅,77.89平米,https://sh.lianjia.com/chengjiao/107101916109.html,2019.10.29,388,挂牌420万,成交周期3天,49814,中楼层(共6层),1997年建板楼,南 , 精装
牡丹公寓,2室1厅,72.77平米,https://sh.lianjia.com/chengjiao/107101660877.html,2019.10.29,365,挂牌388万,成交周期71天,50159,中楼层(共6层),1996年建板楼,南 , 简装
白雪公主,2室2厅,91.58平米,https://sh.lianjia.com/chengjiao/107101636937.html,2019.10.27,570,挂牌595万,成交周期76天,62241,高楼层(共11层),2004年建板楼,南 , 精装
园艺新村,2室1厅,68.67平米,https://sh.lianjia.com/chengjiao/107101845495.html,2019.10.24,367,挂牌380万,成交周期13天,53372,中楼层(共6层),1995年建板楼,南 , 其他
万泰花园,2室1厅,66.47平米,https://sh.lianjia.com/chengjiao/107101844476.html,2019.10.21,350,挂牌369万,成交周期10天,52656,低楼层(共6层),1997年建板楼,南 , 其他
万科城市花园,1室2厅,50.23平米,https://sh.lianjia.com/chengjiao/107101889490.html,2019.10.21,275,挂牌285万,成交周期3天,54749,中楼层(共6层),1994年建板楼,南 , 精装
三佳花苑,2室1厅,52.79平米,https://sh.lianjia.com/chengjiao/107101801986.html,2019.10.21,393,挂牌415万,成交周期23天,74446,高楼层(共5层),1995年建板楼,南 , 精装
三佳花苑,2室1厅,52.09平米,https://sh.lianjia.com/chengjiao/107101432546.html,2019.10.21,398,挂牌408万,成交周期128天,76407,中楼层(共5层),1995年建板楼,南 , 精装
万科魅力之城,2室2厅,96.13平米,https://sh.lianjia.com/chengjiao/107101745068.html,2019.10.17,545,挂牌550万,成交周期36天,56695,高楼层(共5层),2004年建板楼,南 北 , 简装
西郊英园,1室1厅,59.9平米,https://sh.lianjia.com/chengjiao/107100133397.html,2019.10.15,265,挂牌289万,成交周期570天,44241,高楼层(共11层),2010年建板楼,南 , 精装
茂盛花苑,2室1厅,67.25平米,https://sh.lianjia.com/chengjiao/107101503773.html,2019.10.14,263,挂牌284万,成交周期101天,39108,高楼层(共6层),1998年建板楼,南 , 精装
摩登堂,2室2厅,90.06平米,https://sh.lianjia.com/chengjiao/107100658167.html,2019.10.14,568,挂牌578万,成交周期390天,63070,中楼层(共18层),2010年建板楼,南 , 精装
摩登堂,1室2厅,73.43平米,https://sh.lianjia.com/chengjiao/107101809746.html,2019.10.14,400,挂牌430万,成交周期14天,54474,中楼层(共18层),2012年建板楼,南 , 毛坯
碧林湾南苑(华友路260弄),2室2厅,86.1平米,https://sh.lianjia.com/chengjiao/107101779312.html,2019.10.10,503,挂牌520万,成交周期19天,58421,中楼层(共6层),2004年建板楼,南 , 精装
吴宝新村,2室1厅,64.69平米,https://sh.lianjia.com/chengjiao/107101327612.html,2019.10.09,309,挂牌325万,成交周期146天,47767,高楼层(共6层),1994年建板楼,南 , 精装
富丽公寓(西区),2室2厅,81.24平米,https://sh.lianjia.com/chengjiao/107101645717.html,2019.10.08,415,挂牌425万,成交周期54天,51084,高楼层(共6层),1994年建板楼,南 , 简装
东方花园(一期),3室2厅,109.78平米,https://sh.lianjia.com/chengjiao/107101093394.html,2019.10.08,558,挂牌605万,成交周期215天,50829,中楼层(共6层),1999年建板楼,南 , 精装
茂盛城市花园,3室2厅,75.25平米,https://sh.lianjia.com/chengjiao/107101771308.html,2019.10.08,513,挂牌520万,成交周期19天,68173,高楼层(共6层),1994年建板楼,南 , 毛坯
万兆家园(一期),1室1厅,51.41平米,https://sh.lianjia.com/chengjiao/107101603638.html,2019.10.08,280,挂牌290万,成交周期66天,54465,中楼层(共6层),1994年建板楼,南 , 精装
西郊英园,1室1厅,65.24平米,https://sh.lianjia.com/chengjiao/107101699879.html,2019.10.08,328,挂牌345万,成交周期39天,50200,中楼层(共11层),2010年建板楼,东 南 北 , 精装
金泰公寓,2室1厅,57.66平米,https://sh.lianjia.com/chengjiao/107101656322.html,2019.09.29,382,挂牌400万,成交周期43天,66251,低楼层(共6层),1995年建板楼,南 北 , 精装
华宝花园,3室2厅,99.93平米,https://sh.lianjia.com/chengjiao/107101726491.html,2019.09.29,490,挂牌516万,成交周期23天,49035,低楼层(共6层),1995年建板楼,南 北 , 简装
万兆家园(一期),2室2厅,75.84平米,https://sh.lianjia.com/chengjiao/107101734987.html,2019.09.28,395,挂牌420万,成交周期20天,52084,低楼层(共6层),2000年建板楼,南 , 精装
万科城市花园,2室2厅,72.71平米,https://sh.lianjia.com/chengjiao/107101464358.html,2019.09.26,363,挂牌375万,成交周期94天,49925,高楼层(共7层),1995年建板楼,南 , 简装
金泰公寓,2室1厅,60.06平米,https://sh.lianjia.com/chengjiao/107101602882.html,2019.09.25,392,挂牌412万,成交周期54天,65269,低楼层(共6层),1996年建板楼,南 , 精装
佳宝新村,2室2厅,65.23平米,https://sh.lianjia.com/chengjiao/107101627704.html,2019.09.23,306,挂牌335万,成交周期45天,46911,低楼层(共6层),1994年建板楼,南 , 简装
水清年华花园,2室1厅,59.32平米,https://sh.lianjia.com/chengjiao/107101436746.html,2019.09.23,345,挂牌360万,成交周期99天,58160,中楼层(共10层),2011年建板楼,南 , 精装
东风小区(七宝),2室2厅,67.36平米,https://sh.lianjia.com/chengjiao/107101752704.html,2019.09.20,428,挂牌435万,成交周期6天,63540,高楼层(共6层),1996年建板楼,南 , 精装
茂盛城市花园,2室1厅,75平米,https://sh.lianjia.com/chengjiao/107101369635.html,2019.09.17,538,挂牌549万,成交周期112天,71734,中楼层(共6层),1994年建板楼,南 , 简装
华宝花园,2室2厅,90.32平米,https://sh.lianjia.com/chengjiao/107101238331.html,2019.09.16,477,挂牌500万,成交周期151天,52813,中楼层(共6层),1995年建板楼,南 , 简装
三佳花苑,1室1厅,50.34平米,https://sh.lianjia.com/chengjiao/107101694493.html,2019.09.16,362,挂牌380万,成交周期19天,71912,高楼层(共6层),1995年建板楼,南 , 简装
茂盛城市花园,2室1厅,67.3平米,https://sh.lianjia.com/chengjiao/107101609717.html,2019.09.16,491,挂牌507万,成交周期43天,72957,中楼层(共6层),1994年建板楼,南 , 精装
万科朗润园,2室2厅,94.71平米,https://sh.lianjia.com/chengjiao/107000578093.html,2019.09.15,578,挂牌649万,成交周期814天,61014,低楼层(共6层),2006年建板楼,南 , 精装
惠明苑,2室2厅,94.81平米,https://sh.lianjia.com/chengjiao/107101599431.html,2019.09.15,464,挂牌470万,成交周期45天,48940,低楼层(共13层),2008年建板楼,南 , 精装
水清年华花园,1室1厅,57.61平米,https://sh.lianjia.com/chengjiao/107101635367.html,2019.09.15,307,挂牌330万,成交周期35天,53290,中楼层(共11层),2007年建板楼,南 , 精装
园艺新村,3室1厅,70.26平米,https://sh.lianjia.com/chengjiao/107101614289.html,2019.09.10,398,挂牌410万,成交周期36天,56647,低楼层(共6层),1995年建板楼,南 , 精装
万科朗润园,2室2厅,94.72平米,https://sh.lianjia.com/chengjiao/107101541280.html,2019.09.09,536,挂牌560万,成交周期56天,56588,高楼层(共6层),2006年建板楼,南 , 精装
欣源公寓,2室1厅,57.12平米,https://sh.lianjia.com/chengjiao/107101583544.html,2019.09.09,295,挂牌305万,成交周期44天,51646,中楼层(共6层),1995年建板楼,南 , 精装
万科城市花园,2室2厅,75.92平米,https://sh.lianjia.com/chengjiao/107101674336.html,2019.09.09,395,挂牌399万,成交周期17天,52029,中楼层(共7层),1994年建板楼,南 , 精装
白雪公主,2室2厅,96.47平米,https://sh.lianjia.com/chengjiao/107101407487.html,2019.09.07,540,挂牌550万,成交周期91天,55976,高楼层(共6层),2004年建板楼,南 , 精装
