锦乐馨苑东苑,1室1厅,61.91平米,https://sh.lianjia.com/chengjiao/107101804965.html,2019.12.07,281,挂牌285万,成交周期70天,45389,低楼层(共16层),2015年建板楼,南 , 精装
高兴花园,2室1厅,70.23平米,https://sh.lianjia.com/chengjiao/107101938029.html,2019.12.06,366,挂牌368万,成交周期34天,52087,低楼层(共6层),1998年建板楼,南 , 精装
虹景苑,2室1厅,62.17平米,https://sh.lianjia.com/chengjiao/107101951004.html,2019.11.30,258,挂牌263万,成交周期24天,41500,中楼层(共6层),1997年建板楼,南 北 , 精装
银河新都,3室1厅,91.57平米,https://sh.lianjia.com/chengjiao/107101429283.html,2019.11.28,346,挂牌359万,成交周期167天,37786,低楼层(共12层),2010年建板楼,南 , 毛坯
银河新都,2室1厅,72.22平米,https://sh.lianjia.com/chengjiao/107101376545.html,2019.11.25,308,挂牌309万,成交周期179天,42579,低楼层(共10层),2007年建板楼,南 北 , 简装
高兴花园,2室1厅,68.03平米,https://sh.lianjia.com/chengjiao/107101964769.html,2019.11.24,331,挂牌335万,成交周期15天,48656,中楼层(共6层),1996年建板楼,南 , 精装
中城绿苑,2室2厅,85.96平米,https://sh.lianjia.com/chengjiao/107101926201.html,2019.11.21,528,挂牌536万,成交周期22天,61424,中楼层(共14层),2005年建板楼,南 , 精装
银河新都,3室1厅,91.19平米,https://sh.lianjia.com/chengjiao/107101836092.html,2019.11.20,401,挂牌409万,成交周期42天,43953,高楼层(共13层),2010年建板楼,南 北 , 毛坯
银河新都,1室1厅,51.63平米,https://sh.lianjia.com/chengjiao/107101289021.html,2019.11.19,242,挂牌247万,成交周期198天,46872,低楼层(共14层),2007年建板楼,南 , 精装
蔷薇新村,2室1厅,72.35平米,https://sh.lianjia.com/chengjiao/107101766521.html,2019.11.18,285,挂牌289万,成交周期61天,39392,高楼层(共6层),1995年建板楼,南 , 其他
上海春城,2室1厅,70.18平米,https://sh.lianjia.com/chengjiao/107101983346.html,2019.11.18,447,挂牌456万,成交周期2天,63694,低楼层(共6层),2004年建板楼,南 , 其他
春申景城湖滨晨韵,2室2厅,84.75平米,https://sh.lianjia.com/chengjiao/107101933964.html,2019.11.18,569,挂牌569万,成交周期17天,67139,中楼层(共17层),2005年建板楼,南 , 精装
绿地春申花园,2室2厅,85.47平米,https://sh.lianjia.com/chengjiao/107101820700.html,2019.11.17,548,挂牌560万,成交周期44天,64117,中楼层(共5层),2003年建板楼,南 , 精装
高兴花园,2室1厅,57.69平米,https://sh.lianjia.com/chengjiao/107101714701.html,2019.11.16,307,挂牌310万,成交周期75天,53060,高楼层(共6层),1998年建板楼,南 , 简装
高兴花园,2室1厅,70.07平米,https://sh.lianjia.com/chengjiao/107101757502.html,2019.11.16,315,挂牌321万,成交周期63天,44956,高楼层(共6层),1996年建板楼,南 , 精装
绿地春申花园,2室2厅,92.98平米,https://sh.lianjia.com/chengjiao/107101802070.html,2019.11.13,565,挂牌586万,成交周期46天,60766,中楼层(共6层),2002年建板楼,南 , 精装
高兴花园,2室1厅,71.06平米,https://sh.lianjia.com/chengjiao/107101928000.html,2019.11.12,340,挂牌345万,成交周期14天,47801,高楼层(共6层),1997年建板楼,南 , 简装
