江南名邸,2室2厅,97.24平米,https://sh.lianjia.com/chengjiao/107101139117.html,2019.12.21,553,挂牌563万,成交周期277天,56870,高楼层(共14层),2004年建板楼,南 北 , 简装
邻里苑,2室2厅,88.05平米,https://sh.lianjia.com/chengjiao/107101692688.html,2019.12.21,403,挂牌415万,成交周期115天,45770,低楼层(共9层),2009年建板楼,南 , 毛坯
华丽家园,2室2厅,93.26平米,https://sh.lianjia.com/chengjiao/107101814239.html,2019.12.21,490,挂牌490万,成交周期80天,52542,中楼层(共11层),2003年建板楼,南 , 精装
名都新城（一期、二期）,2室2厅,102.07平米,https://sh.lianjia.com/chengjiao/107101049084.html,2019.12.20,585,挂牌622万,成交周期299天,57314,高楼层(共11层),2002年建塔楼,南 , 简装
邻里苑,2室2厅,89.97平米,https://sh.lianjia.com/chengjiao/107101980349.html,2019.12.16,461,挂牌485万,成交周期32天,51184,高楼层(共9层),2009年建板楼,南 , 毛坯
春申五村,2室1厅,56.84平米,https://sh.lianjia.com/chengjiao/107101918805.html,2019.12.16,262,挂牌276万,成交周期50天,46095,高楼层(共6层),1997年建板楼,西南 北 , 精装
新申花城茉莉苑,1室1厅,55.18平米,https://sh.lianjia.com/chengjiao/107101280619.html,2019.12.15,335,挂牌347万,成交周期228天,60711,低楼层(共6层),1997年建板楼,南 , 简装
沁春园三村,2室2厅,91.75平米,https://sh.lianjia.com/chengjiao/107101297231.html,2019.12.15,424,挂牌437万,成交周期223天,46191,低楼层(共14层),2004年建板楼,南 , 简装
莘城苑,2室2厅,75.83平米,https://sh.lianjia.com/chengjiao/107101525725.html,2019.12.15,255,挂牌270万,成交周期158天,33628,高楼层(共6层),1999年建板楼,南 , 简装
春申五村,2室1厅,59.3平米,https://sh.lianjia.com/chengjiao/107101795622.html,2019.12.15,275,挂牌283万,成交周期81天,46375,中楼层(共6层),1996年建板楼,南 , 简装
莘南新村,2室1厅,90.2平米,https://sh.lianjia.com/chengjiao/107101470180.html,2019.12.15,340,挂牌358万,成交周期173天,37695,低楼层(共6层),1997年建板楼,南 , 简装
春申五村,3室1厅,92.5平米,https://sh.lianjia.com/chengjiao/107101943348.html,2019.12.15,441,挂牌450万,成交周期42天,47577,中楼层(共6层),1997年建板楼,南 , 简装
绿梅一村,3室1厅,69.9平米,https://sh.lianjia.com/chengjiao/107101016088.html,2019.12.15,293,挂牌308万,成交周期303天,41918,高楼层(共6层),1993年建板楼,南 , 简装
春申府邸,1室1厅,57.32平米,https://sh.lianjia.com/chengjiao/107101648923.html,2019.12.15,310,挂牌323万,成交周期122天,53996,高楼层(共11层),2007年建板楼,南 , 精装
美丽家园,2室2厅,83.23平米,https://sh.lianjia.com/chengjiao/107102016796.html,2019.12.15,312,挂牌330万,成交周期19天,37487,高楼层(共6层),1998年建板楼,南 , 精装
东湖花园,2室1厅,64.32平米,https://sh.lianjia.com/chengjiao/107101846053.html,2019.12.15,268,挂牌270万,成交周期64天,41667,低楼层(共7层),1999年建板楼,南 , 简装
莘南花苑一村,2室1厅,66.61平米,https://sh.lianjia.com/chengjiao/107102062615.html,2019.12.14,389,挂牌400万,成交周期4天,58385,中楼层(共6层),1995年建板楼,南 , 精装
西湖苑,1室1厅,54.35平米,https://sh.lianjia.com/chengjiao/107101801271.html,2019.12.12,214,挂牌235万,成交周期76天,39375,低楼层(共6层),1995年建板楼,南 , 精装
莘南新村,3室1厅,80.98平米,https://sh.lianjia.com/chengjiao/107101951296.html,2019.12.10,335,挂牌358万,成交周期35天,41369,低楼层(共6层),1996年建板楼,南 , 简装
春申五村,2室1厅,62.05平米,https://sh.lianjia.com/chengjiao/107102041155.html,2019.12.10,265,挂牌275万,成交周期7天,42644,高楼层(共6层),1994年建板楼,南 北 , 简装
